NumeroArticulo,DescripcionArticulo,EnStock,UnidadMedida,GrupoArticulos,UltimaFechaCompra,UltimoPrecioCompra,UltimaMonedaCompra,
AC1076,CANULA NASAL CON RESERVORIO,6,UNIDAD,ACCESORIOS,23/07/2021,31.76,COR,
AC1077,OXIGENO MEDICINAL T/220,1,UNIDAD,ACCESORIOS,01/12/2021,876,COR,
AC1078,HUMIDIFICADOR CON ADAPTADOR DISS,1,UNIDAD,ACCESORIOS,23/07/2021,106.4,COR,
AC1079,REGULADOR DE MANOMETRO 2-15 LPM,3,UNIDAD,ACCESORIOS,23/07/2021,"2,205.90",COR,
AC1085,REGULADOR 870 1/8 Pulgadas - 15 LPM,6,UNIDAD,ACCESORIOS,24/07/2021,"1,434.09",COR,
AC1086,REGULADOR CGA 540 1 - 15 LPM,3,UNIDAD,ACCESORIOS,24/07/2021,321.86,COR,
AC1087,CILINDRO DE ALUMINIO TIPO E-CGA 870,3,UNIDAD,ACCESORIOS,24/07/2021,78.943,COR,
AC1088,TONER HP CF501A,2,UNIDAD,ACCESORIO DE COMPUTO,04/11/2021,80,USD,
AC1089,TONER HP CF502A,1,UNIDAD,ACCESORIO DE COMPUTO,04/11/2021,76,USD,
AC1090,TONER HP CF503A,1,UNIDAD,ACCESORIO DE COMPUTO,05/08/2021,"2,982.00",COR,
AC1092,PANA PARA PINTAR (BANDEJA),1,UNIDAD,ACCESORIOS,18/09/2025,100,COR,
AC1095,CINTA VINIL 600MMX15MTS EVERWELL,17,UNIDAD,ACCESORIOS,22/09/2021,1.09,USD,
AC1100,FILTRO DE SEDIMENTO EN POLIPROPILENO 10 PulgadasX2.5 Pulgadas,55,UNIDAD,ACCESORIOS,10/10/2025,555,COR,
AC1103,PASTA PLASTICA CUBIERTA DE POLIPROPILENO,11,UNIDAD,ACCESORIOS,16/07/2022,165,COR,
AC1107,CONECTOR CAMLOCK MF C-600AL,4,UNIDAD,ACCESORIOS,22/09/2021,"3,020.36",COR,
AC1108,CONECTOR CAMLOCK TIPO F-600AIL,4,UNIDAD,ACCESORIOS,22/09/2021,"1,805.77",COR,
AC1109,CARTUCHO DE TINTA S2,11,UNIDAD,ACCESORIO DE COMPUTO,03/09/2025,"5,383.44",COR,
AC1111,RACOR RECTO INTERMEDIO 4 (5/32),15,UNIDAD,ACCESORIO DE COMPUTO,25/09/2021,1.52,USD,
AC1112,RACOR RECTO RED 8MM,15,UNIDAD,ACCESORIOS,25/09/2021,2.72,USD,
AC1113,RACOR RECTO INTERMEDIO RED 10MM,8,UNIDAD,ACCESORIOS,25/09/2021,3.41,USD,
AC1114,RACOR RECTO RED 4MM 1/4 Pulgadas,15,UNIDAD,ACCESORIOS,25/09/2021,1.57,USD,
AC1115,RACOR RECTO MACHO CONICO RED 4MM 1/8 Pulgadas,15,UNIDAD,ACCESORIOS,25/09/2021,1.28,USD,
AC1116,RACOR RECTO RED 8MM 3/8 Pulgadas,10,UNIDAD,ACCESORIOS,17/03/2023,52.7,COR,
AC1117,RACOR RECTO RED 10MM 1/4 Pulgadas,13,UNIDAD,ACCESORIOS,05/04/2023,52.7,COR,
AC1118,RACOR RECTO RED 10MM 1/2 Pulgadas,11,UNIDAD,ACCESORIOS,05/04/2023,66.3,COR,
AC1119,RACOR AL 8MM 1/4 Pulgadas,11,UNIDAD,ACCESORIOS,25/09/2021,3.2,USD,
AC1122,RACOR AT INTERMEDIO RED 8MM,4,UNIDAD,ACCESORIOS,25/09/2021,4.45,USD,
AC1123,RACOR AT INTERMEDIO RED 10MM,13,UNIDAD,ACCESORIOS,25/09/2021,5.79,USD,
AC1124,RACOR AT INTERMEDIO 4 (5/32),8,UNIDAD,ACCESORIOS,25/09/2021,2.11,USD,
AC1125,RACOR AT RED 4MM,2,UNIDAD,ACCESORIOS,25/09/2021,3.62,USD,
AC1126,LIJA #60,12,UNIDAD,ACCESORIOS,13/12/2022,26.362,COR,
AC1129,TUERCA 9/16 Pulgadas GR-8,94,UNIDAD,ACCESORIOS,09/10/2021,4.945,COR,
AC1130,ARANDELA PRESION 9/16 Pulgadas GR-8,88,UNIDAD,ACCESORIOS,09/10/2021,1.628,COR,
AC1131,ARANDELA PLANA 9/16 Pulgadas GR-8,98,UNIDAD,ACCESORIOS,09/10/2021,1.753,COR,
AC1132,PAPEL AISLANTE NOMEX #7,5,UNIDAD,ACCESORIOS,10/09/2025,124.2,COR,
AC1135,POLISSH PERFECT BOT 1/4 SELLADO 36060,1,UNIDAD,ACCESORIOS,16/10/2021,"2,067.20",COR,
AC1139,PAPEL LAMINADO PARA ENMASCARAR 18 PulgadasX230,1,UNIDAD,ACCESORIOS,05/02/2025,"1,131.00",COR,
AC1144,BOQUILLAS PARA ALCOHOLIMETRO BACTRACK PAQUETE DE 100 UNIDADES,3,UNIDAD,REPUESTOS,16/11/2021,"1,943.76",COR,
AC115,ARANDELA PRESION 1 Pulgadas GR-8,228,UNIDAD,ACCESORIOS,15/05/2024,10.815,COR,
AC1152,TONER HP CF283,2,UNIDAD,ACCESORIO DE COMPUTO,, -   ,,
AC1153,TONER HP CB542A,1,UNIDAD,ACCESORIO DE COMPUTO,, -   ,,
AC1157,ARANDELA DE PRESION 3/8 Pulgadas INOX,349,UNIDAD,ACCESORIOS,24/10/2022,0.874,COR,
AC1162,GALON PLASTICO P/COMBUSTIBLE 5 GLS TAPON ANTIDERRAME,4,UNIDAD,ACCESORIOS,22/08/2025,920,COR,
AC1164,MANGUERA TRANSPARENTE NIVEL 3,33,PIES,ACCESORIOS,26/01/2022,8.924,COR,
AC1166,CARTUCHO HP GT,12,UNIDAD,ACCESORIO DE COMPUTO,07/11/2022,378.293,COR,
AC1167,PALO PARA CEPILLO DE PISO,1,UNIDAD,ACCESORIOS,, -   ,,
AC1168,ARANDELA ESPECIAL CON O-RING 3/4,24,UNIDAD,ACCESORIOS,27/01/2023,3.263,USD,
AC1170,COLOCHO 9/16 PLASTICO,650,UNIDAD,ACCESORIOS,19/09/2025,5.1,COR,
AC1173,ESPAGUETI #12,150,PIES,ACCESORIOS,11/06/2022,0.13,USD,
AC1177,CLORO,3,GALON,ACCESORIOS,05/09/2025,77.4,COR,
AC1179,BOCINA ESTRO 15-75 CD,2,UNIDAD,ACCESORIOS,30/10/2024,75,USD,
AC1180,ESTACION MANUAL DE ALARMA,3,UNIDAD,ACCESORIOS,30/10/2024,70,USD,
AC1182,BRIDA PLASTICA 21 Pulgadas,700,UNIDAD,ACCESORIOS,03/09/2025,16.451,COR,
AC1184,GALON PLASTICO,8,UNIDAD,ACCESORIOS,12/05/2025,50,COR,
AC1185,REFLECTOR PARA BICICLETA,22,UNIDAD,ACCESORIOS,26/03/2022,82,COR,
AC1193,CUBRE ZAPATOS ANTIDESLIZANTE,100,PAR,ACCESORIOS,09/04/2022,0.097,USD,
AC1202,OLLA DE ALUMINIO,1,UNIDAD,ACCESORIOS,27/03/2025,650,COR,
AC1205,ARANDELA DE PRESION M24,572,UNIDAD,ACCESORIOS,28/03/2025,57.663,COR,
AC1207,ARANDELA PLANA M25,66,UNIDAD,ACCESORIOS,, -   ,,
AC1208,ARANDELA DE PRESION M25,48,UNIDAD,ACCESORIOS,, -   ,,
AC1209,TUERCA METRICA M24,429,UNIDAD,ACCESORIOS,, -   ,,
AC1210,TUERCA METRICA M25,68,UNIDAD,ACCESORIOS,, -   ,,
AC1211,TUERCA METRICA M12,"4,389.00",UNIDAD,ACCESORIOS,, -   ,,
AC1212,TUERCA METRICA M27,14,UNIDAD,ACCESORIOS,, -   ,,
AC1213,ARANDELA DE PRESION M12,51,UNIDAD,ACCESORIOS,, -   ,,
AC1214,ARANDELA DE PRESION M8,149,UNIDAD,ACCESORIOS,, -   ,,
AC1215,LIJA #60,430,PIE,ACCESORIOS,29/06/2022,25.33,COR,
AC1216,ARANDELA DE PRESION M10,190,UNIDAD,ACCESORIOS,09/07/2022,0.892,COR,
AC1224,PALO DE ALUMINIO 1.5 MTS,2,UNIDAD,ACCESORIOS,15/11/2024,"1,200.00",COR,
AC1230,MOUSE INALAMBRICO,6,UNIDAD,ACCESORIO DE COMPUTO,29/10/2025,407.377,COR,
AC1232,PIEDRA PARA AFILAR (ESMERILAR) 8 Pulgadas,7,UNIDAD,ACCESORIOS,26/09/2025,290,COR,
AC1233,BRIDA PLASTICA 14 Pulgadas,900,UNIDAD,ACCESORIOS,21/06/2023,2.9,COR,
AC1236,CHINCHE CORRIENTE,4,CAJA,ACCESORIOS,02/06/2022,15,COR,
AC1240,PAPEL AISLANTE NOMEX #11,10,UNIDAD,ACCESORIOS,10/09/2025,626.75,COR,
AC1241,BRIDA PLASTICA 17 Pulgadas,900,UNIDAD,ACCESORIOS,25/06/2025,12.143,COR,
AC1243,TANQUE DE AGUA 10 000 LTS,1,UNIDAD,ACCESORIOS,27/06/2025,"60,648.38",COR,
AC1247,BANDEJA PORTA REVISTA PLASTICA,2,UNIDAD,ACCESORIOS,16/07/2022,120,COR,
AC125,TUERCA HEX. INOX 5/8 Pulgadas,161,UNIDAD,ACCESORIOS,28/03/2025,33.096,COR,
AC1250,FOLDER TAMAÑO LEGAL,4,UNIDAD,ACCESORIOS,25/05/2023,255,COR,
AC1251,PAPEL BOND LEGAL,10,UNIDAD,ACCESORIOS,20/05/2023,292.5,COR,
AC1252,REPUESTO P/CALADOR (CUCHILLA SCUTER),2,UNIDAD,ACCESORIOS,04/04/2025,23.85,COR,
AC1256,SACO ROJO 24X38 S/IMPRESIÓN,"14,920.00",UNIDAD,ACCESORIOS,04/05/2023,0.35,USD,
AC126,ARANDELA PLANA INOX 5/8 Pulgadas,58,UNIDAD,ACCESORIOS,28/03/2025,15.595,COR,
AC1260,HIELERA NAPOLI POROPLAST,2,UNIDAD,ACCESORIOS,12/05/2025,260,COR,
AC1265,BATERIA LITHIUM GP CR2032 PLANA,1,UNIDAD,ACCESORIOS,19/10/2022,21.882,COR,
AC1273,LLAVE DE PASE DOBLE P/LAVAMANO 1/2 PulgadasX1/2 PulgadasX1/2 Pulgadas,3,UNIDAD,ACCESORIOS,24/07/2025,130,COR,
AC1284,GORRO ESTILO PANADERO,8,UNIDAD,ACCESORIOS,22/12/2022,80,COR,
AC1287,FRESA 2 FILOS 1/2,1,UNIDAD,ACCESORIOS,07/01/2023,385.2,COR,
AC1288,FRESA 2 FILOS 9/16,1,UNIDAD,ACCESORIOS,07/01/2023,524.7,COR,
AC1289,FRESA 2 FILOS 5/8,1,UNIDAD,ACCESORIOS,07/01/2023,594.9,COR,
AC1293,FRESA VERTICAL 3/8 PulgadasX3/8 Pulgadas HSS 4 FILOS,1,UNIDAD,ACCESORIOS,07/01/2023,254,COR,
AC1304,CINTA CAMBRIC 3/4 Pulgadas C/ADHESIVO,2,UNIDAD,ACCESORIOS,10/07/2025,"1,924.03",COR,
AC1305,BRIDA PLASTICA 15 Pulgadas,300,UNIDAD,ACCESORIOS,30/10/2024,6.561,COR,
AC1307,BITACORA DE CONTROL DE EQUIPO GENERADOR DE VAPOR,1,UNIDAD,ACCESORIOS,10/10/2025,"2,000.00",COR,
AC1318,RACOR CODO 1/4 PulgadasNPTX8MM,8,UNIDAD,ACCESORIOS,05/04/2023,45.05,COR,
AC1319,VASOS,6,UNIDAD,ACCESORIOS,24/02/2025,30,COR,
AC1321,ARANDELA ESPECIAL METALICA CON ORING 1/2,4,UNIDAD,ACCESORIOS,28/03/2023,1.389,USD,
AC1334,PAPEL AISLANTE NOMEX N-M-N 5-10-5,3,UNIDAD,ACCESORIOS,15/12/2023,52.13,USD,
AC1349,PAPEL KRAFT,2,UNIDAD,ACCESORIOS,02/10/2024,133,COR,
AC1355,PAPEL ESTANDAR 45 CM X 45 M,1,ROLLO,ACCESORIOS,12/10/2023,947,COR,
AC1358,DIAGONAL DE 3M L1 GALVANIZADO MULTIFER,1,UNIDAD,ACCESORIOS,, -   ,,
AC1359,LARGUERA DE 3M GALVANIZADA MULTIFER,6,UNIDAD,ACCESORIOS,, -   ,,
AC1370,REMOVEDOR DE JUNTAS LOCTITE SF 790,42,UNIDAD,ACCESORIOS,17/10/2025,644,COR,
AC1373,FIJADOR DE ROSCAS LOCTITE 271 50 ML,40,UNIDAD,ACCESORIOS,17/10/2025,"1,472.00",COR,
AC1374,BOTELLA DE VIDRIO,93,UNIDAD,ACCESORIOS,09/05/2025,16.957,COR,
AC1382,BLOCK DE BOLETA DE DESPACHO CPO (CALIDAD),10,UNIDAD,ACCESORIOS,04/02/2025,120,COR,
AC1387,NIPLE TAM B1/4ID AW-17 PART #SNP-72 BINZEL,24,UNIDAD,ACCESORIOS,21/08/2023,108.448,COR,
AC1395,CONECTOR CAMLOCK DE 3 Pulgadas C300,1,UNIDAD,ACCESORIOS,07/09/2023,861.86,COR,
AC1396,CONECTOR CAMLOCK DE 3 Pulgadas E-300,6,UNIDAD,ACCESORIOS,07/09/2023,522.56,COR,
AC1397,RACOR DE 1/4 NPT X6MM SANG-A,22,UNIDAD,ACCESORIOS,07/09/2023,40.8,COR,
AC1398,RACOR RECTO DE 1/4 NPT X6MM SANG-A,24,UNIDAD,ACCESORIOS,07/09/2023,34.4,COR,
AC140,PRISIONERO ALLEN 1/4X1 Pulgadas,48,UNIDAD,ACCESORIOS,05/09/2020,3.76,COR,
AC1400,HULE PARA ARPÓN DE 1/2 Pulgadas,40,PIE,ACCESORIOS,08/08/2025,180,COR,
AC1401,RÓTULO PVC CON IMPRESIÓN VINIL FORMATO A0,1,UNIDAD,ACCESORIOS,26/10/2023,8,USD,
AC1402,CARGADOR RAPIDO KENWOOD KS-25LS,1,UNIDAD,ACCESORIOS,31/10/2023,44,USD,
AC1403,BATERIA KENWOOD KNB-57L,1,UNIDAD,ACCESORIOS,31/10/2023,89.5,USD,
AC1407,TONER HP 151A,8,UNIDAD,ACCESORIO DE COMPUTO,12/09/2025,"4,464.90",COR,
AC1408,FILTRO DE SEDIMENTO DE POLIPROPILENO 20 PulgadasX4.5 Pulgadas,8,UNIDAD,ACCESORIOS,17/01/2024,46,USD,
AC1412,ETIQUETA BARRILITO P/PRECIO,1,UNIDAD,ACCESORIOS,07/02/2024,11.64,COR,
AC1413,COVER PARA CELULAR,1,UNIDAD,ACCESORIOS,20/08/2025,280,COR,
AC1417,HILO DE POLIESTER FIBRA ROJA 175G,30,UNIDAD,ACCESORIOS,16/03/2024,100,COR,
AC1419,BLOQUEADOR TIPO BARRA 190MM PARA DISYUN,3,UNIDAD,ACCESORIOS,17/04/2024,19,USD,
AC1420,BLOQUEADOR VALVULA DE BOLA 13 A 70MM,3,UNIDAD,ACCESORIOS,17/04/2024,34,USD,
AC1421,BLOQUEO INTERRUPTOR ABRAZADERA,15,UNIDAD,ACCESORIOS,17/04/2024,11.3,USD,
AC1422,BLOQUEO PARA BOTONERA 22.5 A 30.5MM,3,UNIDAD,ACCESORIOS,17/04/2024,14.5,USD,
AC1423,BLOQUEO VALVULA UNIVERSAL CON CABLE,12,UNIDAD,ACCESORIOS,17/04/2024,60,USD,
AC1424,CAJA DE ALMACENAMIENTO 48 LLAVES KB48,2,UNIDAD,ACCESORIOS,17/04/2024,77.5,USD,
AC1425,CANDADO BLOQUEO DIELECT ROJO LOCKEY,14,UNIDAD,ACCESORIOS,17/04/2024,15.3,USD,
AC1426,ETIQUETA DE BLOQUEO PVC LOCKEY (PAQ.10 UND),3,UNIDAD,ACCESORIOS,17/04/2024,27,USD,
AC1428,TONER HP 105A,3,UNIDAD,ACCESORIOS,28/09/2024,70.15,USD,
AC1429,CARTUCHO EPSON T544,7,UNIDAD,ACCESORIOS,12/09/2025,396.68,COR,
AC1431,UPS APC DE 4 TOMACORRIENTES MOD. BVX700,4,UNIDAD,ACCESORIO DE COMPUTO,25/07/2025,"2,798.45",COR,
AC1433,MANGUERA PARA JARDIN,10,METROS,ACCESORIOS,22/02/2025,45,COR,
AC1437,BOLETA DE DESPACHO CPKO (CALIDAD),14,UNIDAD,ACCESORIOS,25/06/2024,120,COR,
AC1439,CABLE MTH USB A SERIAL DB9-M 45CM,1,UNIDAD,ACCESORIOS,31/07/2024,577.68,COR,
AC1440,CONECTOR CAMLOCK 2 Pulgadas MFB-200 IAL,2,UNIDAD,ACCESORIOS,17/08/2024,661.6,COR,
AC1441,CONECTOR CAMLOCK 2 Pulgadas MFA-200 IAL,2,UNIDAD,ACCESORIOS,17/08/2024,331.2,COR,
AC1445,CINTA PARA DUCTO DE 2 Pulgadas,6,UNIDAD,ACCESORIOS,06/01/2025,70,COR,
AC1446,PANA DE VIDRIO,11,UNIDAD,ACCESORIOS,18/09/2024,45,COR,
AC1448,MASKING TAPE 12MMX20M,7,UNIDAD,ACCESORIOS,30/10/2024,41.65,COR,
AC1449,PAPEL BOND MEDIA CARTA,4,UNIDAD,ACCESORIOS,12/09/2025,170.75,COR,
AC1450,PAPEL BURBUJA,7,ROLLO,ACCESORIOS,12/09/2025,"2,460.54",COR,
AC1451,HALADERA DE PUERTA,12,UNIDAD,ACCESORIOS,13/09/2024,85,COR,
AC1452,PAPEL ADHESIVO T/C,7,UNIDAD,ACCESORIOS,21/02/2025,99.75,COR,
AC1453,CARGADOR UNIVERSAL MOD.2733335,2,UNIDAD,ACCESORIOS,09/07/2025,976.99,COR,
AC1454,PAPEL BOND QUIMICO 3X3X3 76X18MTS P/TMU,23,ROLLO,ACCESORIOS,18/07/2025,58.5,COR,
AC1455,CINTA EPSON ERC-38B,18,UNIDAD,ACCESORIOS,18/07/2025,70.03,COR,
AC1457,BATERIA DE LITIO 3V CR-2023,9,UNIDAD,ACCESORIOS,04/10/2024,20.24,COR,
AC1459,UPS APC MOD. BV800 EASY,2,UNIDAD,ACCESORIOS,30/04/2025,"2,734.77",COR,
AC1463,PAPELERA METALICA,3,UNIDAD,ACCESORIOS,16/04/2025,247.25,COR,
AC1465,GRAPA PARA CABLE 4MM,2,UNIDAD,ACCESORIOS,28/10/2024,30,COR,
AC1466,GRAPA PARA CABLE 6MM,1,UNIDAD,ACCESORIOS,28/10/2024,30,COR,
AC1470,PASTE DE ALUMINIO,29,UNIDAD,ACCESORIOS,05/09/2025,6.969,COR,
AC1475,GASA QUIRURGICA,499,UNIDAD,ACCESORIOS,21/03/2025,2.75,COR,
AC1479,BROCA 1/16 Pulgadas PARA METAL,2,UNIDAD,ACCESORIOS,26/02/2025,83.09,COR,
AC1483,BOLSAS DE PLASTICO 4LB (PAQUETE 100 UND),2,UNIDAD,ACCESORIOS,11/03/2025,55,COR,
AC1484,BOLSAS DE PLASTICO 5LB (PAQUETE 100 UND),2,UNIDAD,ACCESORIOS,11/03/2025,60,COR,
AC1485,RACOR Y DE 1/4 NPT X 1/4,15,UNIDAD,ACCESORIOS,21/03/2025,92.8,COR,
AC1486,REGULADOR DE FLUJO A 90° DE 1/4 NPT X 1/4,8,UNIDAD,ACCESORIOS,21/03/2025,168,COR,
AC1487,RACOR CODO DE 3/8 NPT X 1/4,15,UNIDAD,ACCESORIOS,21/03/2025,51.2,COR,
AC1488,RACOR CODO DE 1/4 NPT X 1/4,15,UNIDAD,ACCESORIOS,21/03/2025,40,COR,
AC1489,RACOR RECTO DE 1/4 NPT X 1/4,15,UNIDAD,ACCESORIOS,21/03/2025,35.2,COR,
AC149,SACO JUMBO 36X36X60 BLANCO,25,UNIDAD,ACCESORIOS,27/09/2025,699.58,COR,
AC1490,CINTA DE MARCAJE AMARILLO 2 PulgadasX36 YARDAS,2,UNIDAD,ACCESORIOS,21/03/2025,588.12,COR,
AC1491,APOSITO ESTERIL,30,UNIDAD,ACCESORIOS,21/03/2025,21.5,COR,
AC1492,CURITAS ADHESIVAS,18,CAJA,ACCESORIOS,21/03/2025,43.75,COR,
AC1493,ALCOHOL DESINFECTAR 70% SPRAY,4,UNIDAD,ACCESORIOS,21/03/2025,56.3,COR,
AC1495,BOQUILLA PARA HIDROLAVADORA CON ANGULO DE 15°,2,UNIDAD,ACCESORIOS,09/04/2025,949.333,COR,
AC1496,BOQUILLA PARA HIDROLAVADORA CON ANGULO DE 25°,2,UNIDAD,ACCESORIOS,09/04/2025,951.15,COR,
AC1497,BOQUILLA PARA HIDROLAVADORA CON ANGULO DE 40°,2,UNIDAD,ACCESORIOS,09/04/2025,949.333,COR,
AC150,ARANDELA PRESION 3/4 Pulgadas GR-8,999,UNIDAD,ACCESORIOS,18/09/2024,6.978,COR,
AC1504,GRAPA PARA CABLE 12MM,1,UNIDAD,ACCESORIOS,26/05/2025,35,COR,
AC1506,ROTULO EN LAMINA LISA C/IMPRESIÓN EN VINIL,20,UNIDAD,ACCESORIOS,15/10/2025,573.86,COR,
AC1507,CONO DE HILO PARA COSER SACOS 15LB,7,UNIDAD,ACCESORIOS,11/06/2025,"3,902.69",COR,
AC1508,SACO BCO 24X38 C/R,"17,651.00",UNIDAD,ACCESORIOS,27/09/2025,10.21,COR,
AC1511,TANQUE DE AGUA 1 750 LT,1,UNIDAD,ACCESORIOS,02/07/2025,"12,203.95",COR,
AC1512,ESPARADRAPO,36,UNIDAD,ACCESORIOS,16/07/2025,33.35,COR,
AC1513,LIGA DE HULE,3,PAQUETE,ACCESORIOS,18/07/2025,40.5,COR,
AC1515,AMONIO CUATERNARIO 1%,10,GALON,ACCESORIOS,31/07/2025,229,COR,
AC1517,CUCHILLO DE MESA,1,UNIDAD,ACCESORIOS,31/07/2025,"1,199.13",COR,
AC1518,UPS INTERACTIVA SAT UR1000,2,UNIDAD,ACCESORIOS,13/08/2025,"1,918.80",COR,
AC1519,CARTUCHO HP X4E75AL,1,UNIDAD,ACCESORIO DE COMPUTO,15/08/2025,"1,107.00",COR,
AC152,LLAVE P/LAVAMANO CROMO 143-5100,1,UNIDAD,ACCESORIOS,18/09/2025,280,COR,
AC1520,CARTUCHO HP M0H50AL,1,UNIDAD,ACCESORIO DE COMPUTO,15/08/2025,"1,107.00",COR,
AC1526,CINTA DHS1CL 0.225 PulgadasX0.015 PulgadasX250 YARDAS,19,UNIDAD,ACCESORIOS,15/08/2025,"1,995.00",COR,
AC1527,ENVASES DE MUESTRAS 100ML CON TAPA,8,UNIDAD,ACCESORIOS,12/08/2025,11,COR,
